Date,Open,High,Low,Close
2013-01-01,7613.36,7661.62,7613.36,7650.75
2013-01-02,7689.09,7723.88,7689.09,7703.19
2013-01-03,7726.34,7739.18,7699.27,7729.66
2013-01-04,7734.81,7746.4,7702.74,7742.53
2013-01-07,7762.01,7774.33,7713.37,7725.93
2013-01-08,7723.51,7739.89,7694.11,7734.13
2013-01-09,7748.15,7769.86,7688.21,7701.59
2013-01-10,7727.92,7746.59,7665.66,7689.48
2013-01-11,7732.12,7732.32,7628.63,7641.13
2013-01-14,7660.87,7748.48,7645.17,7734.11
2013-01-15,7757.47,7780.88,7728.72,7763.87
2013-01-16,7764.33,7773.48,7673.25,7684.99
2013-01-17,7696.36,7745.26,7682.36,7728.04
2013-01-18,7751.93,7778.65,7730.02,7743.27
2013-01-21,7776.11,7777.16,7747.82,7764.36
2013-01-22,7766.97,7792.7,7701,7710.18
2013-01-23,7722.95,7742.47,7650.12,7694.86
2013-01-24,7697.96,7707.35,7600.1,7610.2
2013-01-25,7617.81,7702.98,7605.91,7696.35
2013-01-28,7711.37,7723.85,7688.2,7701.87
2013-01-29,7700.72,7746.94,7654.98,7661.06
2013-01-30,7680.52,7695.9,7654.26,7667.05
2013-01-31,7660.79,7678.38,7646.42,7665.74
2013-02-01,7673.22,7697.72,7624.37,7636.78
2013-02-04,7666.48,7678.49,7594.25,7600.96
2013-02-05,7578.47,7580.21,7547.79,7563.84
2013-02-06,7594.95,7610.76,7563.14,7570.57
2013-02-07,7554.11,7597.25,7517.26,7530.01
2013-02-08,7530.48,7547.4,7456.71,7479.3
2013-02-11,7495.41,7495.68,7460.77,7472.69
2013-02-12,7480.26,7497.33,7443.27,7491.83
2013-02-13,7516.45,7549.24,7475.25,7485.09
2013-02-14,7491.99,7494.7,7404.33,7419.94
2013-02-15,7402.92,7427.32,7368.14,7416.24
2013-02-18,7427.3,7456.34,7419.86,7437.83
2013-02-19,7448.04,7513.37,7430.6,7503.39
2013-02-20,7531.05,7535.53,7499.94,7505.17
2013-02-21,7473.68,7473.68,7370.74,7379.41
2013-02-22,7417.81,7417.81,7362.68,7384.79
2013-02-25,7410.82,7414.34,7333.17,7365.7
2013-02-26,7351.1,7351.1,7237.3,7248.08
2013-02-27,7275.51,7322.64,7230.52,7300.19
2013-02-28,7341.48,7362.01,7138.74,7163.69
2013-03-01,7175.22,7217.69,7153.72,7188.55
2013-03-04,7183.23,7183.23,7113.39,7139.63
2013-03-05,7166.83,7255.98,7166.83,7250.28
2013-03-06,7286.64,7321.12,7280.24,7302.59
2013-03-07,7296.94,7365.77,7291.38,7353.31
2013-03-08,7377.4,7450.54,7377.4,7444.69
2013-03-11,7449.96,7478.62,7431.27,7442.65
2013-03-12,7454.62,7462.51,7386.29,7407.21
2013-03-13,7387.67,7387.67,7315.95,7324.26
2013-03-14,7326.74,7398.5,7255.12,7391.39
2013-03-15,7393.3,7437.97,7338.87,7347.3
2013-03-18,7296.16,7319.61,7281.1,7300.54
2013-03-19,7321.86,7330.35,7173.3,7185.87
2013-03-20,7186.71,7189.4,7087.64,7104.52
2013-03-21,7124.49,7167.53,7036.68,7048.45
2013-03-22,7050.63,7074.25,7002.63,7031.75
2013-03-25,7088.83,7110.22,6997.12,7010.02
2013-03-26,6992.82,7024.38,6986.88,7012.77
2013-03-28,7011.16,7098.79,6976.75,7084.96
2013-04-01,7105.97,7138.6,7088.95,7123.95
2013-04-02,7126.95,7200.93,7119.04,7198.2
2013-04-03,7190.09,7211.23,7090.89,7116.05
2013-04-04,7083.23,7083.23,6985.34,6994.6
2013-04-05,6988.3,7008.47,6957.09,6975.85
2013-04-08,6977.8,7003.65,6962.72,6968.26
2013-04-09,6999.09,7027.16,6891.74,6897.91
2013-04-10,6937.78,6974.17,6872.16,6965.18
2013-04-11,7015.97,7017.59,6949.09,6998.72
2013-04-12,6913.43,6959.82,6912.07,6944.14
2013-04-15,6928.48,7011.14,6916.04,6978.19
2013-04-16,6969.53,7111.08,6969.14,7103.02
2013-04-17,7125.14,7163.48,7088.3,7109.67
2013-04-18,7104.79,7215.49,7104.79,7204.83
2013-04-22,7218.07,7285.75,7217.46,7275.57
2013-04-23,7283.98,7283.98,7224.16,7272.52
2013-04-25,7301.16,7357.44,7298.99,7349.71
2013-04-26,7344.54,7349.36,7288.56,7299.22
2013-04-29,7310.23,7360.74,7303.64,7347.2
2013-04-30,7399.46,7413.56,7309.99,7385.25
2013-05-02,7374.61,7486.55,7374.61,7466.33
2013-05-03,7462.4,7473.01,7401.07,7414.09
2013-05-06,7423.43,7458.52,7405.35,7456.13
2013-05-07,7471.57,7540.7,7471.57,7533.35
2013-05-08,7558.53,7570.95,7517.23,7558.77
2013-05-09,7579.05,7579.62,7523.33,7534.53
2013-05-10,7535.73,7589.94,7535.21,7579.68
2013-05-11,7579.31,7608.78,7574.7,7601.18
2013-05-13,7595.49,7598.94,7450.16,7458.16
2013-05-14,7466.57,7509.45,7447.21,7476.38
2013-05-15,7509.98,7650.97,7509.98,7643.24
2013-05-16,7638.02,7696.99,7634.37,7673
